,awardeeName,count
952,THERAPEUTIC BANDAGE PRODUCTS LLC,2
948,TERC Inc,2
946,TAU OPTICS INC.,2
941,Sustainable Horizons Institute,2
936,"Stryker, Douglas John",2
933,Stephen F. Austin State University,2
420,HAWAII SCIENCE AND TECHNOLOGY MUSEUM,2
419,"HARRISBURG UNIVERSITY OF SCIENCE AND TECHNOLOGY, THE",2
418,"H-BAR INSTRUMENTS, LLC",2
925,St Joseph's University,2
924,Spartanburg Community College,2
922,Southwest Research Institute,2
921,Southern Utah University,2
103,Barnard College,2
1156,University of The Virgin Islands,2
1155,University of Texas at Tyler,2
1144,University of St. Thomas,2
1142,University of Southern Maine,2
375,GALLOX SEMICONDUCTORS INC.,2
978,The Chicago School of Professional Psychology,2
977,Texas Woman's University,2
134,"Brakensiek, Joshua",2
133,Bradley University,2
261,Cossatot Technical College,2
1069,University of Houston - Downtown,2
1066,University of Hawaii at Hilo,2
1064,University of Guam,2
290,Development Gateway,2
289,Des Moines University,2
288,Department of Energy,2
431,"Harmon, Emily",2
427,"Hamchand, Randy",2
426,"Hafner, Elena S",2
423,HYFI LLC,2
452,IHNNOVA LLC,2
446,Hudson Valley Community College,2
445,"Huang, Brice",2
910,"Socolof, Michaela",2
1005,Trinity University,2
991,The University of Texas Health Science Center at Houston,2
987,The Texas A&M University System,2
985,The Salk Institute for Biological Studies,2
981,The College of New Jersey,2
370,Fraunhofer USA Center for Coatings and Diamond Technologies,2
365,Fort Hays State University,2
362,Florida Polytechnic University,2
379,GIANT BIOSYSTEMS INC.,2
905,"Smith, Jason D",2
901,Sinclair Community College,2
465,IONA UNIVERSITY,2
464,INTERNET2,2
456,"INAEDIS, INC",2
891,Sea Education Association,2
889,Scientific Committee on Oceanic Research (SCOR),2
883,"Sangiovanni Vincentelli, Marco Antonio",2
876,Saint Michael's College,2
873,Saint Augustine's College,2
483,JSTOR,2
481,Internet Society,2
480,Internationales Institut fur angewandte Systemanalyse,2
478,Institute For Advanced Study,2
1165,University of Wisconsin-Eau Claire,2
1163,University of West Florida,2
116,"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2
113,Bennington College,2
109,Bellevue College,2
474,Indiana Institute of Technology,2
356,Fisk University,2
354,"Fenley, Andreia",2
353,Federation of American Scientists,2
352,Federation of Amer Societies For Exper Biology,2
351,Fayetteville State University,2
346,FRED HUTCHINSON CANCER CENTER,2
158,COMPUTER SCIENCE ALLIANCE,2
155,"CIRCULARITY FUELS, INC.",2
154,"CIRCLE CONCRETE TECH, INC.",2
1117,University of North Georgia,2
1114,University of North Carolina at Wilmington,2
859,SUNY College at Oswego,2
856,SUNY College at New Paltz,2
854,SUNY College at Brockport,2
492,Joan and Sanford I. Weill Medical College of Cornell University,2
258,Coppin State University,2
215,Chicago Horticultural Society,2
256,"Connop, Charlotte H",2
194,Cankdeska Cikana Community College,2
192,Campbell University,2
